Container_ID,Container_Type,Size,Cargo_Category,Import_Export,Cargo_Weight_Tons,Hazardous
CONT02953,Dry,20FT,Electronics,Import,7.7,No
CONT02954,Reefer,45FT,Textiles,Export,26.83,No
CONT02955,Open Top,40FT,Electronics,Import,16.95,Yes
CONT02956,Tank,20FT,Textiles,Export,12.41,No
CONT02957,Dry,45FT,Electronics,Import,7.93,No
CONT02958,Reefer,40FT,Textiles,Export,4.3,No
CONT02959,Open Top,20FT,Electronics,Import,10.2,No
CONT02960,Tank,45FT,Textiles,Export,26.85,Yes
CONT02961,Dry,40FT,Electronics,Import,23.93,No
CONT02962,Reefer,20FT,Textiles,Export,28.24,No
CONT02963,Open Top,45FT,Electronics,Import,6.52,No
CONT02964,Tank,40FT,Textiles,Export,18.8,No
CONT02965,Dry,20FT,Electronics,Import,10.43,Yes
CONT02966,Reefer,45FT,Textiles,Export,17.57,No
CONT02967,Open Top,40FT,Electronics,Import,12.01,No
CONT02968,Tank,20FT,Textiles,Export,11.09,No
CONT02969,Dry,45FT,Electronics,Import,18.35,No
CONT02970,Reefer,40FT,Textiles,Export,8.58,Yes
CONT02971,Open Top,20FT,Electronics,Import,15.73,No
CONT02972,Tank,45FT,Textiles,Export,20.27,No
CONT02973,Dry,40FT,Electronics,Import,7.2,No
CONT02974,Reefer,20FT,Textiles,Export,27.26,No
CONT02975,Open Top,45FT,Electronics,Import,16.64,Yes
CONT02976,Tank,40FT,Textiles,Export,24.49,No
CONT02977,Dry,20FT,Electronics,Import,20.35,No
CONT02978,Reefer,45FT,Textiles,Export,21.75,No
CONT02979,Open Top,40FT,Electronics,Import,21.9,No
CONT02980,Tank,20FT,Textiles,Export,25.88,Yes
CONT02981,Dry,45FT,Electronics,Import,19.34,No
CONT02982,Reefer,40FT,Textiles,Export,10.96,No
CONT02983,Open Top,20FT,Electronics,Import,6.49,No
CONT02984,Tank,45FT,Textiles,Export,19.16,No
CONT02985,Dry,40FT,Electronics,Import,5.66,Yes
CONT02986,Reefer,20FT,Textiles,Export,10.03,No
CONT02987,Open Top,45FT,Electronics,Import,5.52,No
CONT02988,Tank,40FT,Textiles,Export,17.72,No
CONT02989,Dry,20FT,Electronics,Import,8.01,No
CONT02990,Reefer,45FT,Textiles,Export,19.26,Yes
CONT02991,Open Top,40FT,Electronics,Import,23.77,No
CONT02992,Tank,20FT,Textiles,Export,24.55,No
CONT02993,Dry,45FT,Electronics,Import,11.74,No
CONT02994,Reefer,40FT,Textiles,Export,17.72,No
CONT02995,Open Top,20FT,Electronics,Import,18.08,Yes
CONT02996,Tank,45FT,Textiles,Export,15.82,No
CONT02997,Dry,40FT,Electronics,Import,20.38,No
CONT02998,Reefer,20FT,Textiles,Export,9.25,No
CONT02999,Open Top,45FT,Electronics,Import,28.48,No
CONT03000,Tank,40FT,Textiles,Export,6.45,Yes
CONT03001,Dry,20FT,Electronics,Import,24.73,No
CONT03002,Reefer,45FT,Textiles,Export,18.85,No
CONT03003,Open Top,40FT,Electronics,Import,10.12,No
CONT03004,Tank,20FT,Textiles,Export,22.64,No
CONT03005,Dry,45FT,Electronics,Import,6.11,Yes
CONT03006,Reefer,40FT,Textiles,Export,23.36,No
CONT03007,Open Top,20FT,Electronics,Import,18.75,No
CONT03008,Tank,45FT,Textiles,Export,6.77,No
CONT03009,Dry,40FT,Electronics,Import,5.99,No
CONT03010,Reefer,20FT,Textiles,Export,22.77,Yes
CONT03011,Open Top,45FT,Electronics,Import,11.32,No
CONT03012,Tank,40FT,Textiles,Export,26.23,No
CONT03013,Dry,20FT,Electronics,Import,23.05,No
CONT03014,Reefer,45FT,Textiles,Export,21.45,No
CONT03015,Open Top,40FT,Electronics,Import,10.97,Yes
CONT03016,Tank,20FT,Textiles,Export,21.72,No
CONT03017,Dry,45FT,Electronics,Import,27.7,No
CONT03018,Reefer,40FT,Textiles,Export,6.29,No
CONT03019,Open Top,20FT,Electronics,Import,12.15,No
CONT03020,Tank,45FT,Textiles,Export,9.87,Yes
CONT03021,Dry,40FT,Electronics,Import,13.83,No
CONT03022,Reefer,20FT,Textiles,Export,22.56,No
CONT03023,Open Top,45FT,Electronics,Import,15.86,No
CONT03024,Tank,40FT,Textiles,Export,18.27,No
CONT03025,Dry,20FT,Electronics,Import,11.85,Yes
CONT03026,Reefer,45FT,Textiles,Export,7.53,No
CONT03027,Open Top,40FT,Electronics,Import,10.67,No
CONT03028,Tank,20FT,Textiles,Export,25.49,No
CONT03029,Dry,45FT,Electronics,Import,19.06,No
CONT03030,Reefer,40FT,Textiles,Export,13.45,Yes
CONT03031,Open Top,20FT,Electronics,Import,23.75,No
CONT03032,Tank,45FT,Textiles,Export,5.61,No
CONT03033,Dry,40FT,Electronics,Import,10.35,No
CONT03034,Reefer,20FT,Textiles,Export,9.75,No
CONT03035,Open Top,45FT,Electronics,Import,28.63,Yes
CONT03036,Tank,40FT,Textiles,Export,21.65,No
CONT03037,Dry,20FT,Electronics,Import,19.44,No
CONT03038,Reefer,45FT,Textiles,Export,4.12,No
CONT03039,Open Top,40FT,Electronics,Import,8.61,No
CONT03040,Tank,20FT,Textiles,Export,19.89,Yes
CONT03041,Dry,45FT,Electronics,Import,13.49,No
CONT03042,Reefer,40FT,Textiles,Export,27.11,No
CONT03043,Open Top,20FT,Electronics,Import,23.12,No
CONT03044,Tank,45FT,Textiles,Export,15.18,No
CONT03045,Dry,40FT,Electronics,Import,22.74,Yes
CONT03046,Reefer,20FT,Textiles,Export,28.39,No
CONT03047,Open Top,45FT,Electronics,Import,15.52,No
CONT03048,Tank,40FT,Textiles,Export,20.06,No
CONT03049,Dry,20FT,Electronics,Import,26.97,No
CONT03050,Reefer,45FT,Textiles,Export,10.22,Yes
CONT03051,Open Top,40FT,Electronics,Import,26.16,No
CONT03052,Tank,20FT,Textiles,Export,6.44,No
CONT03053,Dry,45FT,Electronics,Import,20.21,No
CONT03054,Reefer,40FT,Textiles,Export,23.57,No
CONT03055,Open Top,20FT,Electronics,Import,19.37,Yes
CONT03056,Tank,45FT,Textiles,Export,16.39,No
CONT03057,Dry,40FT,Electronics,Import,19.43,No
CONT03058,Reefer,20FT,Textiles,Export,7.79,No
CONT03059,Open Top,45FT,Electronics,Import,9.39,No
CONT03060,Tank,40FT,Textiles,Export,10.75,Yes
CONT03061,Dry,20FT,Electronics,Import,18.94,No
CONT03062,Reefer,45FT,Textiles,Export,15.05,No
CONT03063,Open Top,40FT,Electronics,Import,10.11,No
CONT03064,Tank,20FT,Textiles,Export,26.07,No
CONT03065,Dry,45FT,Electronics,Import,13.35,Yes
CONT03066,Reefer,40FT,Textiles,Export,15.15,No
CONT03067,Open Top,20FT,Electronics,Import,14.24,No
CONT03068,Tank,45FT,Textiles,Export,8.55,No
CONT03069,Dry,40FT,Electronics,Import,22.29,No
CONT03070,Reefer,20FT,Textiles,Export,15.21,Yes
CONT03071,Open Top,45FT,Electronics,Import,4.41,No
CONT03072,Tank,40FT,Textiles,Export,28.1,No
CONT03073,Dry,20FT,Electronics,Import,24.39,No
CONT03074,Reefer,45FT,Textiles,Export,22.09,No
CONT03075,Open Top,40FT,Electronics,Import,25.73,Yes
CONT03076,Tank,20FT,Textiles,Export,26.67,No
CONT03077,Dry,45FT,Electronics,Import,12.44,No
CONT03078,Reefer,40FT,Textiles,Export,19.27,No
CONT03079,Open Top,20FT,Electronics,Import,19.22,No
CONT03080,Tank,45FT,Textiles,Export,10.68,Yes
CONT03081,Dry,40FT,Electronics,Import,9.55,No
CONT03082,Reefer,20FT,Textiles,Export,6.85,No
CONT03083,Open Top,45FT,Electronics,Import,20.48,No
CONT03084,Tank,40FT,Textiles,Export,23.52,No
CONT03085,Dry,20FT,Electronics,Import,23.02,Yes
CONT03086,Reefer,45FT,Textiles,Export,11.91,No
CONT03087,Open Top,40FT,Electronics,Import,9.13,No
CONT03088,Tank,20FT,Textiles,Export,15.34,No
CONT03089,Dry,45FT,Electronics,Import,17.67,No
CONT03090,Reefer,40FT,Textiles,Export,26.98,Yes
CONT03091,Open Top,20FT,Electronics,Import,25.87,No
CONT03092,Tank,45FT,Textiles,Export,26.9,No
CONT03093,Dry,40FT,Electronics,Import,25.26,No
CONT03094,Reefer,20FT,Textiles,Export,28.11,No
CONT03095,Open Top,45FT,Electronics,Import,15.64,Yes
CONT03096,Tank,40FT,Textiles,Export,5.19,No
CONT03097,Dry,20FT,Electronics,Import,6.09,No
CONT03098,Reefer,45FT,Textiles,Export,13.76,No
CONT03099,Open Top,40FT,Electronics,Import,10.44,No
CONT03100,Tank,20FT,Textiles,Export,8.25,Yes
CONT03101,Dry,45FT,Electronics,Import,27.83,No
CONT03102,Reefer,40FT,Textiles,Export,8.89,No
CONT03103,Open Top,20FT,Electronics,Import,27.98,No
CONT03104,Tank,45FT,Textiles,Export,23.02,No
CONT03105,Dry,40FT,Electronics,Import,20.02,Yes
CONT03106,Reefer,20FT,Textiles,Export,20.9,No
CONT03107,Open Top,45FT,Electronics,Import,12.29,No
CONT03108,Tank,40FT,Textiles,Export,20.16,No
CONT03109,Dry,20FT,Electronics,Import,8.67,No
CONT03110,Reefer,45FT,Textiles,Export,27.44,Yes
CONT03111,Open Top,40FT,Electronics,Import,11.54,No
CONT03112,Tank,20FT,Textiles,Export,10.38,No
CONT03113,Dry,45FT,Electronics,Import,21.78,No
CONT03114,Reefer,40FT,Textiles,Export,20.41,No
CONT03115,Open Top,20FT,Electronics,Import,15.28,Yes
CONT03116,Tank,45FT,Textiles,Export,19.81,No
CONT03117,Dry,40FT,Electronics,Import,7.99,No
CONT03118,Reefer,20FT,Textiles,Export,20.83,No
CONT03119,Open Top,45FT,Electronics,Import,10.77,No
CONT03120,Tank,40FT,Textiles,Export,10.82,Yes
CONT03121,Dry,20FT,Electronics,Import,8.05,No
CONT03122,Reefer,45FT,Textiles,Export,12.31,No
CONT03123,Open Top,40FT,Electronics,Import,12.28,No
CONT03124,Tank,20FT,Textiles,Export,15.35,No
CONT03125,Dry,45FT,Electronics,Import,8.76,Yes
CONT03126,Reefer,40FT,Textiles,Export,8.83,No
CONT03127,Open Top,20FT,Electronics,Import,17.54,No
CONT03128,Tank,45FT,Textiles,Export,7.22,No
CONT03129,Dry,40FT,Electronics,Import,21.22,No
CONT03130,Reefer,20FT,Textiles,Export,27.6,Yes
CONT03131,Open Top,45FT,Electronics,Import,14.67,No
CONT03132,Tank,40FT,Textiles,Export,26.53,No
CONT03133,Dry,20FT,Electronics,Import,6.46,No
CONT03134,Reefer,45FT,Textiles,Export,5.07,No
CONT03135,Open Top,40FT,Electronics,Import,22.03,Yes
CONT03136,Tank,20FT,Textiles,Export,23.03,No
CONT03137,Dry,45FT,Electronics,Import,25.08,No
CONT03138,Reefer,40FT,Textiles,Export,5.42,No
CONT03139,Open Top,20FT,Electronics,Import,23.42,No
CONT03140,Tank,45FT,Textiles,Export,13.41,Yes
CONT03141,Dry,40FT,Electronics,Import,11.58,No
CONT03142,Reefer,20FT,Textiles,Export,8.33,No
CONT03143,Open Top,45FT,Electronics,Import,28.9,No
CONT03144,Tank,40FT,Textiles,Export,5.59,No
CONT03145,Dry,20FT,Electronics,Import,24.68,Yes
CONT03146,Reefer,45FT,Textiles,Export,19.99,No
CONT03147,Open Top,40FT,Electronics,Import,22.38,No
CONT03148,Tank,20FT,Textiles,Export,21.79,No
CONT03149,Dry,45FT,Electronics,Import,25.46,No
CONT03150,Reefer,40FT,Textiles,Export,8.59,Yes
CONT03151,Open Top,20FT,Electronics,Import,4.02,No
CONT03152,Tank,45FT,Textiles,Export,18.96,No
CONT03153,Dry,40FT,Electronics,Import,12.85,No
CONT03154,Reefer,20FT,Textiles,Export,7.09,No
CONT03155,Open Top,45FT,Electronics,Import,8.65,Yes
CONT03156,Tank,40FT,Textiles,Export,12.29,No
CONT03157,Dry,20FT,Electronics,Import,5.76,No
CONT03158,Reefer,45FT,Textiles,Export,5.42,No
CONT03159,Open Top,40FT,Electronics,Import,26.9,No
CONT03160,Tank,20FT,Textiles,Export,11.8,Yes
CONT03161,Dry,45FT,Electronics,Import,28.56,No
CONT03162,Reefer,40FT,Textiles,Export,28.11,No
CONT03163,Open Top,20FT,Electronics,Import,7.56,No
CONT03164,Tank,45FT,Textiles,Export,21.87,No
CONT03165,Dry,40FT,Electronics,Import,19.02,Yes
CONT03166,Reefer,20FT,Textiles,Export,21.27,No
CONT03167,Open Top,45FT,Electronics,Import,6.4,No
CONT03168,Tank,40FT,Textiles,Export,8.71,No
CONT03169,Dry,20FT,Electronics,Import,5.92,No
CONT03170,Reefer,45FT,Textiles,Export,19.1,Yes
CONT03171,Open Top,40FT,Electronics,Import,28.66,No
CONT03172,Tank,20FT,Textiles,Export,20.8,No
CONT03173,Dry,45FT,Electronics,Import,21.77,No
CONT03174,Reefer,40FT,Textiles,Export,28.61,No
CONT03175,Open Top,20FT,Electronics,Import,20.95,Yes
CONT03176,Tank,45FT,Textiles,Export,5.0,No
CONT03177,Dry,40FT,Electronics,Import,25.68,No
CONT03178,Reefer,20FT,Textiles,Export,13.12,No
CONT03179,Open Top,45FT,Electronics,Import,4.11,No
CONT03180,Tank,40FT,Textiles,Export,16.68,Yes
CONT03181,Dry,20FT,Electronics,Import,27.43,No
CONT03182,Reefer,45FT,Textiles,Export,10.43,No
CONT03183,Open Top,40FT,Electronics,Import,16.29,No
CONT03184,Tank,20FT,Textiles,Export,8.34,No
CONT03185,Dry,45FT,Electronics,Import,5.44,Yes
CONT03186,Reefer,40FT,Textiles,Export,6.01,No
CONT03187,Open Top,20FT,Electronics,Import,22.18,No
CONT03188,Tank,45FT,Textiles,Export,25.6,No
CONT03189,Dry,40FT,Electronics,Import,7.58,No
CONT03190,Reefer,20FT,Textiles,Export,11.21,Yes
CONT03191,Open Top,45FT,Electronics,Import,8.88,No
CONT03192,Tank,40FT,Textiles,Export,4.67,No
CONT03193,Dry,20FT,Electronics,Import,17.84,No
CONT03194,Reefer,45FT,Textiles,Export,21.5,No
CONT03195,Open Top,40FT,Electronics,Import,20.2,Yes
CONT03196,Tank,20FT,Textiles,Export,13.7,No
CONT03197,Dry,45FT,Electronics,Import,17.88,No
CONT03198,Reefer,40FT,Textiles,Export,6.35,No
CONT03199,Open Top,20FT,Electronics,Import,7.86,No
CONT03200,Tank,45FT,Textiles,Export,27.29,Yes
CONT03201,Dry,40FT,Electronics,Import,23.04,No
CONT03202,Reefer,20FT,Textiles,Export,27.07,No
CONT03203,Open Top,45FT,Electronics,Import,26.92,No
CONT03204,Tank,40FT,Textiles,Export,20.23,No
CONT03205,Dry,20FT,Electronics,Import,27.21,Yes
CONT03206,Reefer,45FT,Textiles,Export,14.42,No
CONT03207,Open Top,40FT,Electronics,Import,4.09,No
CONT03208,Tank,20FT,Textiles,Export,5.56,No
CONT03209,Dry,45FT,Electronics,Import,6.74,No
CONT03210,Reefer,40FT,Textiles,Export,6.38,Yes
CONT03211,Open Top,20FT,Electronics,Import,12.79,No
CONT03212,Tank,45FT,Textiles,Export,21.53,No
CONT03213,Dry,40FT,Electronics,Import,23.77,No
CONT03214,Reefer,20FT,Textiles,Export,18.76,No
CONT03215,Open Top,45FT,Electronics,Import,7.66,Yes
CONT03216,Tank,40FT,Textiles,Export,22.7,No
CONT03217,Dry,20FT,Electronics,Import,12.87,No
CONT03218,Reefer,45FT,Textiles,Export,4.32,No
CONT03219,Open Top,40FT,Electronics,Import,11.01,No
CONT03220,Tank,20FT,Textiles,Export,12.27,Yes
CONT03221,Dry,45FT,Electronics,Import,10.86,No
CONT03222,Reefer,40FT,Textiles,Export,24.3,No
CONT03223,Open Top,20FT,Electronics,Import,23.0,No
CONT03224,Tank,45FT,Textiles,Export,21.39,No
CONT03225,Dry,40FT,Electronics,Import,7.48,Yes
CONT03226,Reefer,20FT,Textiles,Export,24.2,No
CONT03227,Open Top,45FT,Electronics,Import,20.93,No
CONT03228,Tank,40FT,Textiles,Export,8.87,No
CONT03229,Dry,20FT,Electronics,Import,20.2,No
CONT03230,Reefer,45FT,Textiles,Export,16.09,Yes
CONT03231,Open Top,40FT,Electronics,Import,14.98,No
CONT03232,Tank,20FT,Textiles,Export,6.8,No
CONT03233,Dry,45FT,Electronics,Import,16.96,No
CONT03234,Reefer,40FT,Textiles,Export,6.5,No
CONT03235,Open Top,20FT,Electronics,Import,8.11,Yes
CONT03236,Tank,45FT,Textiles,Export,7.31,No
CONT03237,Dry,40FT,Electronics,Import,27.85,No
CONT03238,Reefer,20FT,Textiles,Export,11.12,No
CONT03239,Open Top,45FT,Electronics,Import,12.88,No
CONT03240,Tank,40FT,Textiles,Export,12.05,Yes
CONT03241,Dry,20FT,Electronics,Import,26.46,No
CONT03242,Reefer,45FT,Textiles,Export,18.07,No
CONT03243,Open Top,40FT,Electronics,Import,26.98,No
CONT03244,Tank,20FT,Textiles,Export,11.5,No
CONT03245,Dry,45FT,Electronics,Import,6.87,Yes
CONT03246,Reefer,40FT,Textiles,Export,17.91,No
CONT03247,Open Top,20FT,Electronics,Import,12.64,No
CONT03248,Tank,45FT,Textiles,Export,24.05,No
CONT03249,Dry,40FT,Electronics,Import,25.99,No
CONT03250,Reefer,20FT,Textiles,Export,15.81,Yes
CONT03251,Open Top,45FT,Electronics,Import,28.28,No
CONT03252,Tank,40FT,Textiles,Export,17.83,No
CONT03253,Dry,20FT,Electronics,Import,10.77,No
CONT03254,Reefer,45FT,Textiles,Export,16.22,No
CONT03255,Open Top,40FT,Electronics,Import,4.93,Yes
CONT03256,Tank,20FT,Textiles,Export,24.1,No
CONT03257,Dry,45FT,Electronics,Import,6.54,No
CONT03258,Reefer,40FT,Textiles,Export,11.72,No
CONT03259,Open Top,20FT,Electronics,Import,18.13,No
CONT03260,Tank,45FT,Textiles,Export,5.07,Yes
CONT03261,Dry,40FT,Electronics,Import,5.98,No
CONT03262,Reefer,20FT,Textiles,Export,21.4,No
CONT03263,Open Top,45FT,Electronics,Import,5.79,No
CONT03264,Tank,40FT,Textiles,Export,15.93,No
CONT03265,Dry,20FT,Electronics,Import,12.47,Yes
CONT03266,Reefer,45FT,Textiles,Export,9.7,No
CONT03267,Open Top,40FT,Electronics,Import,8.72,No
CONT03268,Tank,20FT,Textiles,Export,23.09,No
CONT03269,Dry,45FT,Electronics,Import,27.79,No
CONT03270,Reefer,40FT,Textiles,Export,7.5,Yes
CONT03271,Open Top,20FT,Electronics,Import,27.99,No
CONT03272,Tank,45FT,Textiles,Export,18.87,No
CONT03273,Dry,40FT,Electronics,Import,20.04,No
CONT03274,Reefer,20FT,Textiles,Export,21.75,No
CONT03275,Open Top,45FT,Electronics,Import,21.6,Yes
CONT03276,Tank,40FT,Textiles,Export,24.5,No
CONT03277,Dry,20FT,Electronics,Import,16.09,No
CONT03278,Reefer,45FT,Textiles,Export,17.33,No
CONT03279,Open Top,40FT,Electronics,Import,12.1,No
CONT03280,Tank,20FT,Textiles,Export,6.63,Yes
CONT03281,Dry,45FT,Electronics,Import,20.62,No
CONT03282,Reefer,40FT,Textiles,Export,4.84,No
CONT03283,Open Top,20FT,Electronics,Import,10.89,No
CONT03284,Tank,45FT,Textiles,Export,6.36,No
CONT03285,Dry,40FT,Electronics,Import,8.77,Yes
CONT03286,Reefer,20FT,Textiles,Export,19.97,No
CONT03287,Open Top,45FT,Electronics,Import,19.71,No
CONT03288,Tank,40FT,Textiles,Export,14.53,No
CONT03289,Dry,20FT,Electronics,Import,6.25,No
CONT03290,Reefer,45FT,Textiles,Export,14.83,Yes
CONT03291,Open Top,40FT,Electronics,Import,12.82,No
CONT03292,Tank,20FT,Textiles,Export,22.01,No
CONT03293,Dry,45FT,Electronics,Import,18.48,No
CONT03294,Reefer,40FT,Textiles,Export,16.29,No
CONT03295,Open Top,20FT,Electronics,Import,16.17,Yes
CONT03296,Tank,45FT,Textiles,Export,28.16,No
CONT03297,Dry,40FT,Electronics,Import,22.91,No
CONT03298,Reefer,20FT,Textiles,Export,16.42,No
CONT03299,Open Top,45FT,Electronics,Import,15.98,No
CONT03300,Tank,40FT,Textiles,Export,4.66,Yes
CONT03301,Dry,20FT,Electronics,Import,27.56,No
CONT03302,Reefer,45FT,Textiles,Export,11.98,No
CONT03303,Open Top,40FT,Electronics,Import,10.4,No
CONT03304,Tank,20FT,Textiles,Export,28.99,No
CONT03305,Dry,45FT,Electronics,Import,21.97,Yes
CONT03306,Reefer,40FT,Textiles,Export,5.18,No
CONT03307,Open Top,20FT,Electronics,Import,5.55,No
CONT03308,Tank,45FT,Textiles,Export,4.64,No
CONT03309,Dry,40FT,Electronics,Import,18.99,No
CONT03310,Reefer,20FT,Textiles,Export,5.79,Yes
CONT03311,Open Top,45FT,Electronics,Import,27.33,No
CONT03312,Tank,40FT,Textiles,Export,27.42,No
CONT03313,Dry,20FT,Electronics,Import,17.65,No
CONT03314,Reefer,45FT,Textiles,Export,19.42,No
CONT03315,Open Top,40FT,Electronics,Import,11.3,Yes
CONT03316,Tank,20FT,Textiles,Export,5.6,No
CONT03317,Dry,45FT,Electronics,Import,22.44,No
CONT03318,Reefer,40FT,Textiles,Export,6.54,No
CONT03319,Open Top,20FT,Electronics,Import,6.14,No
CONT03320,Tank,45FT,Textiles,Export,11.78,Yes
CONT03321,Dry,40FT,Electronics,Import,4.31,No
CONT03322,Reefer,20FT,Textiles,Export,14.85,No
CONT03323,Open Top,45FT,Electronics,Import,21.69,No
CONT03324,Tank,40FT,Textiles,Export,24.03,No
CONT03325,Dry,20FT,Electronics,Import,19.11,Yes
CONT03326,Reefer,45FT,Textiles,Export,25.17,No
CONT03327,Open Top,40FT,Electronics,Import,14.16,No
CONT03328,Tank,20FT,Textiles,Export,25.22,No
CONT03329,Dry,45FT,Electronics,Import,16.66,No
CONT03330,Reefer,40FT,Textiles,Export,9.58,Yes
CONT03331,Open Top,20FT,Electronics,Import,27.6,No
CONT03332,Tank,45FT,Textiles,Export,10.87,No
CONT03333,Dry,40FT,Electronics,Import,4.66,No
CONT03334,Reefer,20FT,Textiles,Export,10.07,No
CONT03335,Open Top,45FT,Electronics,Import,13.17,Yes
CONT03336,Tank,40FT,Textiles,Export,12.78,No
CONT03337,Dry,20FT,Electronics,Import,17.12,No
CONT03338,Reefer,45FT,Textiles,Export,26.08,No
CONT03339,Open Top,40FT,Electronics,Import,11.31,No
CONT03340,Tank,20FT,Textiles,Export,17.02,Yes
CONT03341,Dry,45FT,Electronics,Import,12.5,No
CONT03342,Reefer,40FT,Textiles,Export,24.54,No
CONT03343,Open Top,20FT,Electronics,Import,7.94,No
CONT03344,Tank,45FT,Textiles,Export,6.59,No
CONT03345,Dry,40FT,Electronics,Import,16.57,Yes
CONT03346,Reefer,20FT,Textiles,Export,20.8,No
CONT03347,Open Top,45FT,Electronics,Import,23.89,No
CONT03348,Tank,40FT,Textiles,Export,18.74,No
CONT03349,Dry,20FT,Electronics,Import,23.35,No
CONT03350,Reefer,45FT,Textiles,Export,13.82,Yes
CONT03351,Open Top,40FT,Electronics,Import,4.82,No
CONT03352,Tank,20FT,Textiles,Export,6.9,No
CONT03353,Dry,45FT,Electronics,Import,4.97,No
CONT03354,Reefer,40FT,Textiles,Export,12.22,No
CONT03355,Open Top,20FT,Electronics,Import,16.39,Yes
CONT03356,Tank,45FT,Textiles,Export,12.91,No
CONT03357,Dry,40FT,Electronics,Import,18.01,No
CONT03358,Reefer,20FT,Textiles,Export,16.02,No
CONT03359,Open Top,45FT,Electronics,Import,20.95,No
CONT03360,Tank,40FT,Textiles,Export,20.67,Yes
CONT03361,Dry,20FT,Electronics,Import,11.95,No
CONT03362,Reefer,45FT,Textiles,Export,12.66,No
CONT03363,Open Top,40FT,Electronics,Import,18.63,No
CONT03364,Tank,20FT,Textiles,Export,18.91,No
CONT03365,Dry,45FT,Electronics,Import,11.87,Yes
CONT03366,Reefer,40FT,Textiles,Export,12.26,No
CONT03367,Open Top,20FT,Electronics,Import,21.35,No
CONT03368,Tank,45FT,Textiles,Export,20.19,No
CONT03369,Dry,40FT,Electronics,Import,7.38,No
CONT03370,Reefer,20FT,Textiles,Export,15.03,Yes
CONT03371,Open Top,45FT,Electronics,Import,26.32,No
CONT03372,Tank,40FT,Textiles,Export,4.91,No
CONT03373,Dry,20FT,Electronics,Import,25.38,No
CONT03374,Reefer,45FT,Textiles,Export,8.08,No
CONT03375,Open Top,40FT,Electronics,Import,16.68,Yes
CONT03376,Tank,20FT,Textiles,Export,14.61,No
CONT03377,Dry,45FT,Electronics,Import,4.25,No
CONT03378,Reefer,40FT,Textiles,Export,26.88,No
CONT03379,Open Top,20FT,Electronics,Import,15.37,No
CONT03380,Tank,45FT,Textiles,Export,27.86,Yes
CONT03381,Dry,40FT,Electronics,Import,11.17,No
CONT03382,Reefer,20FT,Textiles,Export,25.66,No
CONT03383,Open Top,45FT,Electronics,Import,27.06,No
CONT03384,Tank,40FT,Textiles,Export,17.92,No
CONT03385,Dry,20FT,Electronics,Import,9.07,Yes
CONT03386,Reefer,45FT,Textiles,Export,21.13,No
CONT03387,Open Top,40FT,Electronics,Import,17.72,No
CONT03388,Tank,20FT,Textiles,Export,27.61,No
CONT03389,Dry,45FT,Electronics,Import,14.98,No
CONT03390,Reefer,40FT,Textiles,Export,10.71,Yes
CONT03391,Open Top,20FT,Electronics,Import,7.46,No
CONT03392,Tank,45FT,Textiles,Export,21.47,No
CONT03393,Dry,40FT,Electronics,Import,28.35,No
CONT03394,Reefer,20FT,Textiles,Export,4.71,No
CONT03395,Open Top,45FT,Electronics,Import,22.51,Yes
CONT03396,Tank,40FT,Textiles,Export,27.17,No
CONT03397,Dry,20FT,Electronics,Import,5.87,No
CONT03398,Reefer,45FT,Textiles,Export,6.75,No
CONT03399,Open Top,40FT,Electronics,Import,21.3,No
CONT03400,Tank,20FT,Textiles,Export,20.2,Yes
CONT03401,Dry,45FT,Electronics,Import,5.72,No
CONT03402,Reefer,40FT,Textiles,Export,24.86,No
CONT03403,Open Top,20FT,Electronics,Import,17.09,No
CONT03404,Tank,45FT,Textiles,Export,26.68,No
CONT03405,Dry,40FT,Electronics,Import,25.95,Yes
CONT03406,Reefer,20FT,Textiles,Export,24.31,No
CONT03407,Open Top,45FT,Electronics,Import,16.9,No
CONT03408,Tank,40FT,Textiles,Export,10.29,No
CONT03409,Dry,20FT,Electronics,Import,16.65,No
CONT03410,Reefer,45FT,Textiles,Export,6.52,Yes
CONT03411,Open Top,40FT,Electronics,Import,20.47,No
CONT03412,Tank,20FT,Textiles,Export,7.35,No
CONT03413,Dry,45FT,Electronics,Import,16.78,No
CONT03414,Reefer,40FT,Textiles,Export,5.36,No
CONT03415,Open Top,20FT,Electronics,Import,11.49,Yes
CONT03416,Tank,45FT,Textiles,Export,9.8,No
CONT03417,Dry,40FT,Electronics,Import,19.5,No
CONT03418,Reefer,20FT,Textiles,Export,23.67,No
CONT03419,Open Top,45FT,Electronics,Import,5.43,No
CONT03420,Tank,40FT,Textiles,Export,25.26,Yes
CONT03421,Dry,20FT,Electronics,Import,25.52,No
CONT03422,Reefer,45FT,Textiles,Export,12.56,No
CONT03423,Open Top,40FT,Electronics,Import,20.48,No
CONT03424,Tank,20FT,Textiles,Export,14.07,No
CONT03425,Dry,45FT,Electronics,Import,7.85,Yes
CONT03426,Reefer,40FT,Textiles,Export,17.22,No
CONT03427,Open Top,20FT,Electronics,Import,6.16,No
CONT03428,Tank,45FT,Textiles,Export,25.96,No
CONT03429,Dry,40FT,Electronics,Import,27.11,No
CONT03430,Reefer,20FT,Textiles,Export,24.54,Yes
CONT03431,Open Top,45FT,Electronics,Import,18.06,No
CONT03432,Tank,40FT,Textiles,Export,17.94,No
CONT03433,Dry,20FT,Electronics,Import,28.62,No
CONT03434,Reefer,45FT,Textiles,Export,10.2,No
